anio,peaje,lat,lon,dia,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
2019,caapucu,-26.375892755677032,-57.13070028923169,13,5063,2857,2523,2968,2735,2678,0,2544,3120,3457,3298,3236
2019,caapucu,-26.375892755677032,-57.13070028923169,14,3770,3138,2551,2424,3280,3609,0,2695,3081,2212,3154,3452
2019,caapucu,-26.375892755677032,-57.13070028923169,15,3552,4191,3172,2971,3193,3875,0,2773,3046,2354,3299,3039
2019,caapucu,-26.375892755677032,-57.13070028923169,16,3501,4137,2623,3593,2856,2307,0,2757,2394,2036,2731,2821
2019,caapucu,-26.375892755677032,-57.13070028923169,17,3897,4186,2284,7032,3077,3949,2773,2659,2253,2226,1942,2840
2019,caapucu,-26.375892755677032,-57.13070028923169,18,4971,3452,2341,7771,2914,2592,2857,3308,2071,3201,2344,3122
2019,caapucu,-26.375892755677032,-57.13070028923169,19,4462,3052,2574,9551,2406,2429,3569,2353,2272,2206,2614,3084
2019,caapucu,-26.375892755677032,-57.13070028923169,20,5347,2995,2494,7463,2401,2546,3113,2323,3149,2352,3255,4168
2019,caapucu,-26.375892755677032,-57.13070028923169,21,4533,3061,2652,6861,2109,3192,3013,2360,3000,2317,3229,4122
2019,caapucu,-26.375892755677032,-57.13070028923169,22,3505,4156,3383,3048,2105,2480,2592,2617,2944,2016,3396,3871
2019,caapucu,-26.375892755677032,-57.13070028923169,23,3450,3826,2957,2511,2320,2304,2186,3279,2211,2282,2447,3668
2019,caapucu,-26.375892755677032,-57.13070028923169,24,3741,3992,2844,2528,2908,2458,2261,3125,2085,2426,2965,3406
2019,caapucu,-26.375892755677032,-57.13070028923169,25,5674,2922,2679,2429,2429,2346,2352,2694,2615,3269,3274,3839
2019,caapucu,-26.375892755677032,-57.13070028923169,26,5594,2583,2663,2980,2096,2313,3160,2308,2645,2957,2330,3920
2019,caapucu,-26.375892755677032,-57.13070028923169,27,6287,2851,2511,2278,2246,2532,2625,2445,3489,2942,2274,3829
2019,caapucu,-26.375892755677032,-57.13070028923169,28,4236,3023,2700,1934,2197,3257,2576,2582,2907,2292,2497,4785
2019,caapucu,-26.375892755677032,-57.13070028923169,29,3459,0,3651,2585,2280,2991,2479,2959,3216,2282,3311,4577
2019,caapucu,-26.375892755677032,-57.13070028923169,30,3442,0,3144,2877,2439,2689,2508,3651,2479,2185,2584,4458
2019,caapucu,-26.375892755677032,-57.13070028923169,31,3792,0,2761,0,3041,0,2907,2836,0,2282,0,4666
2020,caapucu,-26.375892755677032,-57.13070028923169,1,5354,4786,3496,907,537,1550,1579,1582,1629,1912,2813,2146
2020,caapucu,-26.375892755677032,-57.13070028923169,2,5819,5430,2843,892,457,1652,1607,1549,1593,2515,2151,2124
2020,caapucu,-26.375892755677032,-57.13070028923169,3,5466,4134,2583,856,527,1575,1817,1645,1655,1984,1850,2129
2020,caapucu,-26.375892755677032,-57.13070028923169,4,5617,3357,2346,385,1442,1515,1269,1818,2064,1868,1918,3146
2020,caapucu,-26.375892755677032,-57.13070028923169,5,6550,3197,2966,233,1592,1760,993,1575,1419,1858,2194,2647
2020,caapucu,-26.375892755677032,-57.13070028923169,6,4162,3415,3310,377,1354,968,1339,2078,1166,1806,3100,2410
2020,caapucu,-26.375892755677032,-57.13070028923169,7,3434,4739,2930,379,1532,880,1194,2589,1551,1784,2487,2142
2020,caapucu,-26.375892755677032,-57.13070028923169,8,3453,4496,2707,317,1553,1429,1284,2248,1614,2112,2409,1825
2020,caapucu,-26.375892755677032,-57.13070028923169,9,3758,4882,2476,148,1077,1555,1518,2264,1589,2705,2127,2124
2020,caapucu,-26.375892755677032,-57.13070028923169,10,4595,3598,2233,122,708,1663,2030,2134,1778,1820,2088,2191
2020,caapucu,-26.375892755677032,-57.13070028923169,11,4332,3188,2336,163,1336,1957,1478,1844,2098,2058,2313,2667
2020,caapucu,-26.375892755677032,-57.13070028923169,12,4868,2946,2430,269,1489,1584,1227,1631,1475,1882,2519,2164
2020,caapucu,-26.375892755677032,-57.13070028923169,13,3694,3322,2941,758,1618,878,1558,1843,1390,1754,2938,2043
2020,caapucu,-26.375892755677032,-57.13070028923169,14,3251,4586,2218,911,924,1022,1653,2468,1562,1767,2244,2024
2020,caapucu,-26.375892755677032,-57.13070028923169,15,3402,3938,1887,793,324,1502,1615,1583,1663,1725,1746,2044
2020,caapucu,-26.375892755677032,-57.13070028923169,16,3462,4335,1858,898,593,1820,1804,1537,1497,2317,2114,1684
2020,caapucu,-26.375892755677032,-57.13070028923169,17,4882,3143,1679,909,738,1679,2155,1907,1726,1843,1993,2276
2020,caapucu,-26.375892755677032,-57.13070028923169,18,4592,2715,1431,536,1692,1798,3405,1831,2133,2107,2080,2917
2020,caapucu,-26.375892755677032,-57.13070028923169,19,5202,2583,1317,408,1647,2309,1438,1791,1512,1852,2205,2353
2020,caapucu,-26.375892755677032,-57.13070028923169,20,3989,2974,1548,1032,1694,1344,1798,1825,1448,1909,3097,1929
2020,caapucu,-26.375892755677032,-57.13070028923169,21,4818,4108,742,1079,1558,905,1671,2146,1692,1838,2239,2562
2020,caapucu,-26.375892755677032,-57.13070028923169,22,3158,3796,541,2056,1674,1806,1945,1448,1751,2062,2309,2809
2020,caapucu,-26.375892755677032,-57.13070028923169,23,3445,3825,865,1411,963,1848,1973,1286,1573,2749,2612,3342
2020,caapucu,-26.375892755677032,-57.13070028923169,24,5065,3045,868,1151,843,1455,2212,2048,1935,2027,2372,2516
2020,caapucu,-26.375892755677032,-57.13070028923169,25,5453,2405,721,749,1600,1682,1326,1880,2298,2353,2175,1518
2020,caapucu,-26.375892755677032,-57.13070028923169,26,6062,2512,833,402,1783,1951,1418,1658,1907,1784,2314,2084
2020,caapucu,-26.375892755677032,-57.13070028923169,27,3927,2775,794,931,1592,1281,1566,1927,1552,1919,3057,2829
2020,caapucu,-26.375892755677032,-57.13070028923169,28,3220,3638,522,1042,1730,1079,1631,2610,1642,1953,2616,2438
2020,caapucu,-26.375892755677032,-57.13070028923169,29,3222,3477,524,1195,2162,1545,1726,1407,1733,2290,2298,2448
2020,caapucu,-26.375892755677032,-57.13070028923169,30,3217,0,1045,1243,1418,1236,2002,1185,1714,3120,1953,3447
2020,caapucu,-26.375892755677032,-57.13070028923169,31,4940,0,1279,0,1034,0,2362,1596,0,2433,0,3851
2021,caapucu,-26.375892755677032,-57.13070028923169,1,2556,2248,4809,708,1237,1403,1680,1518,1814,2464,1814,1791
2021,caapucu,-26.375892755677032,-57.13070028923169,2,3473,1580,1858,433,1561,1315,2048,1512,1876,1539,1819,2129
2021,caapucu,-26.375892755677032,-57.13070028923169,3,5701,1606,2081,610,1412,1418,1342,1401,2771,1433,1784,2844
2021,caapucu,-26.375892755677032,-57.13070028923169,4,3121,2178,1799,1151,1524,2075,1503,1391,1939,1553,1802,2824
2021,caapucu,-26.375892755677032,-57.13070028923169,5,2250,3391,2274,1684,1395,1382,1495,1275,2106,1853,2663,2890
2021,caapucu,-26.375892755677032,-57.13070028923169,6,2192,2877,2021,1374,1429,1325,1509,2024,1884,1929,1853,2252
2021,caapucu,-26.375892755677032,-57.13070028923169,7,2279,3493,1977,1411,1889,1434,1323,1628,1659,1940,1968,2224
2021,caapucu,-26.375892755677032,-57.13070028923169,8,3165,2727,1914,1642,1293,1505,1615,1817,1655,2638,1826,1912
2021,caapucu,-26.375892755677032,-57.13070028923169,9,2513,2449,1823,1936,1286,1453,2427,1578,1860,2001,1876,1984
2021,caapucu,-26.375892755677032,-57.13070028923169,10,2776,2220,1613,1676,1569,1696,1570,1525,2592,1753,1997,2547
2021,caapucu,-26.375892755677032,-57.13070028923169,11,2584,2358,1868,1431,1475,2124,1774,1416,2037,2001,2167,2138
2021,caapucu,-26.375892755677032,-57.13070028923169,12,2075,3293,2400,1317,1632,1343,1594,1733,1997,1848,2855,2057
2021,caapucu,-26.375892755677032,-57.13070028923169,13,1998,2734,1778,1522,2476,1256,1551,2090,1740,1514,2367,1975
2021,caapucu,-26.375892755677032,-57.13070028923169,14,2544,2709,1712,1727,2467,1417,1584,1484,1628,1860,2483,1755
2021,caapucu,-26.375892755677032,-57.13070028923169,15,3658,2588,2097,1690,1195,1609,1706,1749,1630,2516,2121,1833
2021,caapucu,-26.375892755677032,-57.13070028923169,16,2977,2128,1601,2035,2330,1415,2141,1433,1822,1743,1838,2076
2021,caapucu,-26.375892755677032,-57.13070028923169,17,3099,2210,1370,1503,1815,1492,1685,1429,2352,1935,1511,2795
2021,caapucu,-26.375892755677032,-57.13070028923169,18,2628,2401,1576,1395,1704,2132,1623,1524,1915,1721,1765,2593
2021,caapucu,-26.375892755677032,-57.13070028923169,19,2517,3327,1905,1608,1551,1445,1478,1599,2050,1777,2575,2719
2021,caapucu,-26.375892755677032,-57.13070028923169,20,2294,2757,1594,1534,1622,1218,1752,2296,1633,1874,2360,2325
2021,caapucu,-26.375892755677032,-57.13070028923169,21,2544,2999,1239,1522,1834,1518,1751,1599,1464,2176,2451,2711
2021,caapucu,-26.375892755677032,-57.13070028923169,22,3443,2385,1476,1660,1284,1351,1935,2020,1470,2982,1879,2730
2021,caapucu,-26.375892755677032,-57.13070028923169,23,2585,1989,1451,1901,1226,1665,2495,1709,1830,1595,1916,3370
2021,caapucu,-26.375892755677032,-57.13070028923169,24,3202,1895,1665,1231,1328,1667,1943,2076,2770,1993,1702,2398
2021,caapucu,-26.375892755677032,-57.13070028923169,25,2360,2133,1937,1223,1294,2463,2087,1719,2960,1863,1773,2165
2021,caapucu,-26.375892755677032,-57.13070028923169,26,1912,3163,2654,1591,1436,1283,1639,1916,2235,1761,2663,3784
2021,caapucu,-26.375892755677032,-57.13070028923169,27,1849,4158,713,1533,1873,1078,1815,2661,3723,1748,2238,2524
2021,caapucu,-26.375892755677032,-57.13070028923169,28,2271,2771,493,1602,1996,1277,1722,1901,1827,1981,2357,2413
2021,caapucu,-26.375892755677032,-57.13070028923169,29,3505,0,979,1807,1458,1492,1614,1971,1670,2761,2054,2556
2021,caapucu,-26.375892755677032,-57.13070028923169,30,2785,0,1318,2372,1370,1428,2017,1671,2290,2304,1937,4067
2021,caapucu,-26.375892755677032,-57.13070028923169,31,2913,0,1207,0,1415,0,1301,1735,0,2419,0,5415
2018,remanso,-25.18766591723001,-57.542548860911516,1,8261,15261,14979,11903,11541,15227,9763,15342,13139,16277,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,2,14364,16400,16706,17563,15554,13043,15023,15837,7242,14381,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,3,15932,14433,13611,16055,13920,8542,13029,17044,14510,15292,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,4,16341,10771,8181,15909,17548,14510,14399,14986,15390,15798,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,5,17933,15614,14027,15877,13461,14739,14163,10260,15574,18195,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,6,15140,15906,14233,16897,9528,15206,16576,16143,15935,15042,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,7,11633,15850,14912,14826,15416,15383,14791,15854,17849,7948,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,8,16167,16168,15130,10798,15790,17163,8448,14979,14941,13899,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,9,15991,17451,16604,15586,15555,14921,15287,15651,11002,15420,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,10,16287,15090,13761,15894,15730,9529,15508,17627,15780,12746,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,11,15773,10444,10581,15627,17013,12506,15530,14287,16309,15272,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,12,17215,16511,15265,15725,15821,15014,16174,10147,16111,16828,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,13,14947,16345,15003,16968,10552,15688,17584,15960,14386,12420,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,14,9072,16222,14993,14711,13423,15243,15340,15727,16150,8764,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,15,15348,16005,15049,10411,10636,16761,11695,10923,14204,15869,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,16,15860,17481,16670,15474,15225,14122,16938,15839,7582,16196,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,17,15642,14925,14774,15612,15952,8763,16641,17674,14709,15693,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,18,15982,9454,10285,15903,15445,15286,17205,15107,15684,0,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,19,15830,12515,15138,15635,13763,15833,17060,9561,15818,0,0,18604
2018,remanso,-25.18766591723001,-57.542548860911516,20,14285,14957,15712,17531,9637,15963,16611,15501,14900,0,0,19424
2018,remanso,-25.18766591723001,-57.542548860911516,21,10934,14920,14438,14299,15055,15810,14542,13777,17289,0,0,21020
2018,remanso,-25.18766591723001,-57.542548860911516,22,15405,15603,15235,9847,15659,17256,11249,14780,14177,0,0,19227
2018,remanso,-25.18766591723001,-57.542548860911516,23,15814,16940,17116,15521,16037,14384,15473,15503,10242,0,0,13390
2018,remanso,-25.18766591723001,-57.542548860911516,24,15171,15143,15278,15795,15591,9377,15304,16741,15802,0,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,25,14826,10357,8710,15869,17449,14684,15241,13756,14543,0,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,26,16267,12887,15829,15842,14132,14596,15863,9886,13763,0,0,0
2018,remanso,-25.18766591723001,-57.542548860911516,27,13903,15613,17183,17806,8947,15243,16978,15309,17256,0,0,18184
2018,remanso,-25.18766591723001,-57.542548860911516,28,10321,15277,17225,16515,15213,14795,13993,15840,17490,0,0,18405
2018,remanso,-25.18766591723001,-57.542548860911516,29,14340,0,11717,11427,15800,16763,10658,15767,13528,0,0,17115
2018,remanso,-25.18766591723001,-57.542548860911516,30,15172,0,9276,18356,15821,13.279,15475,17216,11871,0,0,12111
2018,remanso,-25.18766591723001,-57.542548860911516,31,15065,0,11088,0,13204,0,15633,17041,0,0,0,10174
2019,remanso,-25.18766591723001,-57.542548860911516,1,9286,0,18607,13777,7999,12912,15023,16354,8991,14926,16709,10041
2019,remanso,-25.18766591723001,-57.542548860911516,2,15081,0,16195,14134,14464,8527,15464,17256,15495,14757,14396,15684
2019,remanso,-25.18766591723001,-57.542548860911516,3,16517,0,11803,14395,16536,14639,15639,14945,15698,15162,9532,15978
2019,remanso,-25.18766591723001,-57.542548860911516,4,17202,15953,14713,14558,12522,14911,15392,10714,15569,16948,14769,15297
2019,remanso,-25.18766591723001,-57.542548860911516,5,13686,16204,17021,15230,8527,14672,17246,16377,15031,11498,14452,15555
2019,remanso,-25.18766591723001,-57.542548860911516,6,9473,0,0,13077,14282,14892,14859,16070,16640,8646,14971,17237
2019,remanso,-25.18766591723001,-57.542548860911516,7,15002,16301,0,8798,14887,16222,9573,15992,15045,15692,15384,14210
2019,remanso,-25.18766591723001,-57.542548860911516,8,14810,17898,16477,15406,14738,13454,16603,16254,11285,15787,18545,9222
2019,remanso,-25.18766591723001,-57.542548860911516,9,15943,14787,12903,15187,14854,9037,16630,16854,15916,16053,14694,14891
2019,remanso,-25.18766591723001,-57.542548860911516,10,0,10834,9549,15300,15142,14826,16639,14225,16066,17281,11434,15929
2019,remanso,-25.18766591723001,-57.542548860911516,11,17417,16001,15347,15532,11891,14930,16602,10619,15962,4911,15239,16244
2019,remanso,-25.18766591723001,-57.542548860911516,12,14055,13600,15362,16991,7607,15089,18197,15357,15510,15260,15744,15630
2019,remanso,-25.18766591723001,-57.542548860911516,13,10977,16026,13091,14455,15587,15187,15289,15437,17438,11403,14069,18046
2019,remanso,-25.18766591723001,-57.542548860911516,14,16191,14557,14038,9580,12209,16832,11328,15971,14787,16673,14621,15151
2019,remanso,-25.18766591723001,-57.542548860911516,15,16347,17523,13475,16449,9674,14933,16102,12624,10827,13843,16713,9859
2019,remanso,-25.18766591723001,-57.542548860911516,16,0,14436,12688,17199,15048,9204,16091,16703,14696,15080,14969,14062
2019,remanso,-25.18766591723001,-57.542548860911516,17,0,10593,6577,17480,16459,11475,16432,14701,14700,15217,10365,16278
2019,remanso,-25.18766591723001,-57.542548860911516,18,0,15665,13663,10489,13549,15117,16557,11594,14505,14790,16152,17178
2019,remanso,-25.18766591723001,-57.542548860911516,19,0,16278,14882,7561,8023,14736,17007,16004,14635,13608,15371,18070
2019,remanso,-25.18766591723001,-57.542548860911516,20,0,15689,14082,9897,14751,15644,15720,15512,16456,9317,15433,20239
2019,remanso,-25.18766591723001,-57.542548860911516,21,0,15925,14788,9538,14045,16556,11965,15474,13879,14378,15517,16422
2019,remanso,-25.18766591723001,-57.542548860911516,22,0,17262,16623,15042,0,13489,16106,15158,9930,14813,16311,12856
2019,remanso,-25.18766591723001,-57.542548860911516,23,0,15720,13873,15205,13491,8760,14656,17064,14216,15069,13774,19861
2019,remanso,-25.18766591723001,-57.542548860911516,24,0,10608,9750,15386,14588,15204,15272,14285,14467,14436,8809,12398
2019,remanso,-25.18766591723001,-57.542548860911516,25,0,15028,15289,14037,12426,15113,14605,9342,14599,16269,14872,8733
2019,remanso,-25.18766591723001,-57.542548860911516,26,0,14631,15670,15187,8382,15283,16236,12396,15057,13589,15277,15722
2019,remanso,-25.18766591723001,-57.542548860911516,27,0,15507,15460,11157,14320,15396,13865,15149,16666,10794,15328,17994
2019,remanso,-25.18766591723001,-57.542548860911516,28,0,16331,15656,7703,13849,17287,9820,16347,14217,14377,16166,16274
2019,remanso,-25.18766591723001,-57.542548860911516,29,0,0,17385,15101,13974,15003,15488,16764,10149,15070,17817,11344
2019,remanso,-25.18766591723001,-57.542548860911516,30,0,0,14812,15559,13966,9827,15676,15436,15277,14628,15383,17653
2019,remanso,-25.18766591723001,-57.542548860911516,31,0,0,10266,0,15568,0,16123,12979,0,14955,0,11439
2020,remanso,-25.18766591723001,-57.542548860911516,1,9252,15501,11200,6762,3176,11632,13242,11656,14459,14771,9412,14627
2020,remanso,-25.18766591723001,-57.542548860911516,2,15133,10920,16278,6262,2716,11597,12811,8101,14350,15662,14729,15217
2020,remanso,-25.18766591723001,-57.542548860911516,3,17496,16545,16525,6516,4774,11375,13894,13786,14086,12595,14399,12545
